단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
transport,verb/noun,운송하다; 운송,사람·물건을 한 장소에서 다른 곳으로 이동.,Latin transportare,비유적 emotional transport,격식/일상,동/명,타동,transport + N,-,-,trans+port,transportation,translate와 혼동,carry,keep,They transported goods.,public transport,trans=across 연상.,물류/일반,상,1,O/X: transport=고정하다 → X,Q1 명사형? transportation
leakage,noun,누출; 새어 나감,액체·정보 등이 새는 현상.,leak에서 파생,정보 유출,일상/격식,명사,가산/불가산,leakage of,of,-,leak+age,leak,legacy와 혼동,spill,containment,water leakage / leakage of data,There was a major leakage.,-age 명사형.,기술/일반,중,2,O/X: leakage=보존 → X,Q1 동사형? leak
affair,noun,사건; 불륜; 업무,사회적 사건 또는 사적인 문제.,Old French afer,외교 affair,일상,명사,가산,affair of,of,-,aff+air,affairs,fair와 혼동,matter,irrelevance,a political affair / love affair,Mind your own affairs.,love affair 의미 주의.,사회,상,1,O/X: affair=단일 의미만 → X,Q1 의미 하나? love affair
briefly,adverb,잠시; 간단히,짧은 시간 또는 간결하게.,brief 파생,보고서 등,일상/격식,부사,-,briefly + V,-,-,brief+ly,brief,barely와 혼동,shortly,lengthily,He explained briefly.,"Briefly, the plan failed.",요약 표현으로 자주 사용.,일상,상,1,O/X: briefly=길게 → X,Q1 형용사형? brief
in brief,expression,요약하면; 간단히 말해,핵심만 말해 요약.,brief=짧다,보고·발표,일상,구,-,"in brief, S V",-,절,in+brief,brief,in short와 혼동,in short,in detail,"In brief, we failed.","In brief, the issue remains.",in short와 비슷.,일반,상,1,O/X: in brief=자세히 → X,Q1 동의 표현? in short
verbal,adjective,말의; 구두의,문자가 아닌 말로 표현되는 것.,Latin verbum,언어학 용례,격식,형용사,-,verbal agreement,-,-,verb+al,verbally,variable과 혼동,spoken,written,a verbal promise,verbal skills,verb(단어)와 연결.,언어,상,2,O/X: verbal=문서의 → X,Q1 부사형? verbally
spoken,adjective,구어의; 말해진,말로 표출한 형태.,speak 과거분사,spoken language,일상,형용사,-,spoken words,-,-,speak+en,speak,soken과 혼동,oral,written,spoken English,She used simple spoken expressions.,written과 대비.,언어,상,1,O/X: spoken=문어체 → X,Q1 동사원형? speak
nonverbal,adjective,비언어적인,말을 사용하지 않는 표현 방식.,non+verbal,몸짓·표정,일상/격식,형용사,-,nonverbal cues,-,-,non+verbal,nonverbally,novel과 혼동,gestural,verbal,nonverbal communication,She sent nonverbal signals.,표정·몸짓 강조.,언어/심리,상,1,O/X: nonverbal=언어적 → X,Q1 반의어? verbal
medium,noun,매체; 수단,전달을 가능하게 하는 통로.,Latin medium,media 복수,격식/일상,명사,가산,medium for,for,-,medi+um,media,median과 혼동,channel,barrier,a medium for art,The internet is a new medium.,media 복수형 중요.,언어/예술,상,2,O/X: medium=막힘 → X,Q1 복수형? media
signal,noun/verb,신호; 신호를 보내다,행동·변화를 유도하는 표시.,Latin signum,경제·심리 signal,일상,명/동,타동/자동,signal + N,-,-,sign+al,signaling,sign과 혼동,indicate,ignore,He gave a signal.,They signaled for help.,signal=신호 보내다도.,일상,상,1,O/X: signal=숨기다 → X,Q1 동사 의미? send a signal
