단어,품사,주요 의미,핵심 의미 요약,어원,의미 확장,뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어,형태론 분석,파생어,혼동 주의,동의어,반의어,콜로케이션,예문,학습 팁,분야 태그,빈도,난이도,OX 문항,미니 퀴즈
captive,adjective/noun,사로잡힌; 포로,자유를 잃고 붙잡힌 상태.,Latin captivus,경제: captive market,격식,형/명,-,captive to,to,-,capt+ive,captivity,captain과 혼동,imprisoned,free,a captive animal / hold captives,They remained captive.,captivity와 세트.,일반/전쟁,중,3,O/X: captive=자유로운 → X,Q1 명사형? captivity
manipulate,verb,조종하다; 교묘히 다루다,기계·사람·상황을 능숙하게 통제함.,manus(손)+plere(채우다),감정·여론 조작 의미,격식,타동사,타동사,manipulate + N,-,-,mani+pul+ate,manipulation,manufacture와 혼동,control,mismanage,manipulate data / manipulate people,He manipulated the device skillfully.,manipulation과 세트.,기술/심리,상,4,O/X: manipulate=서투르게 다루다 → X,Q1 명사형? manipulation
manipulation,noun,조작; 통제,정보·사람·상황을 의도적으로 조정함.,manipulate에서 파생,사진·데이터 조작,격식,명사,가산/불가산,manipulation of,of,-,manipulate+ion,manipulative,simulation과 혼동,control,mismanagement,data manipulation / manipulation of emotions,He denied manipulation.,manipulate 구조 기억.,기술/심리,상,4,O/X: manipulation=정직함 → X,Q1 형용사형? manipulative
uneasy,adjective,불안한; 불편한,마음이 편치 않거나 상황이 불안함.,un(부정)+easy,관계 긴장감 표현,일상,형용사,-,uneasy about,about,-,un+easy,uneasiness,easy와 반대,nervous,calm,feel uneasy about it,An uneasy silence filled the room.,uneasy vs anxious 구별.,감정,상,2,O/X: uneasy=편안한 → X,Q1 명사형? uneasiness
go through,phrasal verb,겪다; 조사하다,경험을 겪거나 자료를 세밀히 확인함.,Old English go + through,문서 통과 의미도,일상,동사구,자동사,go through + N,through,-,go+through,going through,go on과 혼동,experience,avoid,go through hardship / go through the files,She went through a lot.,through 필수.,일상,상,2,O/X: go through=피하다 → X,Q1 유사어? experience
stress,noun/verb,스트레스; 강조하다,압박감 또는 특정 요소의 강조.,Latin stringere(팽팽하다),강세 의미도,일상,명/동,타동사,stress + N,-,-,stress,stressful,press와 혼동,pressure,relaxation,feel stress / stress the importance,Stress can harm your health.,stress vs emphasize 구별.,심리/언어,상,2,O/X: stress=이완시키다 → X,Q1 형용사형? stressful
stressful,adjective,스트레스가 많은,압박감이 많고 힘든 상태.,stress에서 파생,부담된 상황,일상,형용사,-,stressful for,for,-,stress+ful,stressfully,stressed와 혼동,demanding,relaxing,a stressful job,This week has been stressful.,stress/stressful/stressed 차이.,심리,상,2,O/X: stressful=편안한 → X,Q1 명사형? stress
desperate,adjective,절망적인; 필사적인,희망이 거의 없거나 필사적 노력 상태.,Latin desperare(희망을 잃다),부정적+필사적 투혼,격식/일상,형용사,-,desperate for,for,-,desper+ate,desperately,separate와 혼동,hopeless,hopeful,a desperate attempt,He was desperate for help.,for 패턴 암기.,감정,상,3,O/X: desperate=희망찬 → X,Q1 부사형? desperately
desperately,adverb,절망적으로; 필사적으로,희망 없이 간절히 노력하는 상태.,desperate에서 파생,부정·강조,격식/일상,부사,-,-,-,-,desperate+ly,desperation,separately와 혼동,urgently,calmly,He desperately needs help.,They tried desperately to escape.,형태 구별: desperate/desperately.,감정,상,2,O/X: desperately=차분히 → X,Q1 명사형? desperation
stability,noun,안정; 견고함,정상적 상태를 유지하고 흔들리지 않음.,stable에서 파생,정치·경제 안정,격식,명사,불가산,stability of,of,-,stabil+ity,stabilize,facility와 혼동,steadiness,instability,economic stability,The structure lacks stability.,stability vs security 구별.,경제/기초,상,3,O/X: stability=불안정 → X,Q1 동사형? stabilize
