단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
be made (up) of,expression,~로 구성되다,전체가 여러 요소로 이루어짐을 나타냄.,make에서 파생,up 생략 가능,일상/격식,구문,해당 없음,수동,해당 없음,of,해당 없음,made+of,make,consist of와 비교,consist of,be lacking,The class is made up of 20 students.,Air is made of gases.,수동태만 가능.,문법,상,3,"O, X: be made up with → X, Q1 동의어? consist of"
conquer,verb,정복하다,힘으로 지배하거나 이겨냄.,라틴어 conquaerere,감정·습관 '극복' 의미도 있음,격식,타동사,타동사,타동사,conquer + N,해당 없음,해당 없음,con(완전히)+quer(구하다),conquest,concur와 혼동주의,defeat,surrender,conquer a nation,He conquered his fear.,"정복, 극복 의미 모두.","역사, 심리",상,4,"O, X: conquer는 자동사이다 → X, Q1 명사형? conquest"
conqueror,noun,정복자,세력으로 나라·지역을 차지한 사람.,conquer에서 파생,역사적 맥락,격식,명사,해당 없음,가산,conqueror of,해당 없음,해당 없음,conquer+or,conquest,conquer와 혼동,victor,loser,Alexander the Conqueror,The conquerors advanced inland.,or=행위자 접미사.,역사,중,4,"O, X: conqueror는 가산명사이다 → O, Q1 동사형? conquer"
conquest,noun,정복,지역·영역을 힘으로 차지함.,라틴어 conquestum,비유적으로 ‘마음 얻기’,격식,명사,해당 없음,"가산, 불가산",conquest of,해당 없음,해당 없음,conquer+est,conqueror,request와 혼동,victory,loss,the conquest of territory,Love is his greatest conquest.,"정복, 영토 의미 중요.",역사,중,4,"O, X: conquest는 동사이다 → X, Q1 동사형? conquer"
heritage,noun,유산,역사·문화·전통으로 물려받은 것.,hereditas(상속),문화유산 의미 중심,격식,명사,해당 없음,"불가산, 가산",heritage of,해당 없음,해당 없음,herit(상속)+age,"inherit, hereditary",herb와 혼동주의,tradition,loss,cultural heritage,This region has rich heritage.,문화·역사 맥락 중요.,"문화, 역사",상,3,"O, X: heritage는 주로 문화유산 의미 → O, Q1 동사형? inherit"
legacy,noun,유산; 영향,과거가 남긴 물질적·비물질적 영향.,라틴어 legare(남기다),디지털 유산 의미 확장,격식/일상,명사,해당 없음,가산,legacy of,해당 없음,해당 없음,lega(남기다)+cy,legation,legal과 혼동주의,inheritance,burden,leave a legacy,His legacy continues.,heritage와 미묘한 차이.,"역사, 사회",상,4,"O, X: legacy는 무조건 물질적 유산 → X, Q1 heritage와의 차이?"
artificial,adjective,인공의,자연이 아니라 사람이 만든 것.,라틴어 artificialis,감정·행동 ‘부자연스러운’ 의미도,격식/일상,형용사,해당 없음,해당 없음,artificial to,해당 없음,해당 없음,art(기술)+fic(만들다),artificially,artistic과 혼동,man-made,natural,artificial light,The smile looked artificial.,자연 vs 인공 대비.,"과학, 일반",상,3,"O, X: artificial = natural → X, Q1 부사형? artificially"
conventional,adjective,전통적인; 관습적인,오랜 기간 따라온 방식.,라틴어 convenire(모이다),핵무기 ‘재래식’ 의미도,격식,형용사,해당 없음,해당 없음,conventional to,해당 없음,해당 없음,con+vene,convention,convenient과 혼동,traditional,unusual,conventional methods,Conventional weapons are used.,convention과 세트.,"사회, 문화",상,4,"O, X: conventional = convenient → X, Q1 명사형? convention"
convention,noun,관습; 회의,오래된 사회적 규범 또는 공식 모임.,convene에서 파생,정치·학술대회 의미,격식,명사,해당 없음,"가산, 불가산",convention on,해당 없음,해당 없음,con+vene,conventional,convenience와 혼동,custom,innovation,a global convention,This breaks social conventions.,conventional과 연결.,"사회, 정치",상,3,"O, X: convention은 ‘회의’ 의미도 있다 → O, Q1 동사형? convene"
colonial,adjective,식민지의,식민 지배와 관련된.,colonia(정착지),건축 ‘식민지풍’ 의미,격식,형용사,해당 없음,해당 없음,colonial to,해당 없음,해당 없음,colony+al,"colony, colonize",colonel과 혼동주의,imperial,independent,colonial rule,Colonial buildings remain.,colonize와 어원 동일.,"역사, 정치",중,4,"O, X: colonial은 명사이다 → X, Q1 명사형? colony"
