단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
generation,noun,세대; 생성,사람들의 동시대 집단 또는 무엇인가를 만들어내는 과정.,Latin generare,전력 generation,격식/일상,명사,"가산, 불가산",generation of,of,해당 없음,gener+ation,generate,general과 혼동,production,cessation,"the young generation, energy generation",A new generation of devices emerged.,세대 의미와 생성 의미 둘 다 익히기.,"사회, 기술",상,2,X,"O, X: generation=소멸 → X, Q1 동사형? generate"
reduction,noun,감소; 축소,양·규모·비용을 줄이는 행위.,Latin reducere,수학 reduction,격식/일상,명사,"가산, 불가산",reduction in,in,해당 없음,re+duct+ion,reduce,deduction과 혼동,decrease,increase,"reduction in cost, noise reduction",There was a significant reduction.,in 전치사 필수.,"경제, 일반",상,2,X,"O, X: reduction=증가 → X, Q1 동사형? reduce"
fabricate,verb,제작하다; 조작하다,무언가를 만들어내거나 거짓 정보를 꾸며냄.,Latin fabricare(만들다),증거 조작,격식,타동사,타동사,fabricate + N,해당 없음,해당 없음,fabr+icate,fabrication,fabric과 혼동,manufacture,destroy,"fabricate evidence, fabricate a machine part",The story was entirely fabricated.,긍정·부정 의미 둘 다 가능.,"기술, 법",중,3,X,"O, X: fabricate=파괴하다 → X, Q1 명사형? fabrication"
accumulate,verb,축적하다; 모이다,시간이 흐르며 양이 점점 쌓여 증가함.,Latin accumulare,부정 의미: 문제 누적,격식/일상,"자동, 타동",둘 다,accumulate + N,해당 없음,해당 없음,ac+cumul+ate,accumulation,accurate와 혼동,gather,disperse,"accumulate wealth, dust accumulated",Data accumulated over years.,자동·타동 모두 가능.,"경제, 일반",상,2,X,"O, X: accumulate=흩어뜨리다 → X, Q1 명사형? accumulation"
accumulation,noun,축적; 누적,모여서 쌓인 상태.,accumulate에서 파생,경제·환경 누적,격식,명사,"가산, 불가산",accumulation of,of,해당 없음,accumulate+ion,accumulative,accommodation과 혼동,build-up,dispersion,accumulation of data,Sediment accumulation increased.,accumulate와 함께 암기.,"경제, 과학",상,2,X,"O, X: accumulation=분산 → X, Q1 형용사형? accumulative"
accumulative,adjective,누적되는,시간이 지나며 점점 쌓이는 성질.,accumulation에서 파생,부정적 누적 문제,격식,형용사,해당 없음,accumulative effect,해당 없음,해당 없음,accumulate+ive,accumulation,accommodative와 혼동,cumulative,separate,accumulative damage,The effects are accumulative.,cumulative와 유사.,"학문, 일반",중,3,X,"O, X: accumulative=분리된 → X, Q1 명사형? accumulation"
discard,verb,버리다; 폐기하다,쓸모 없어진 것을 제거함.,Latin discredere,카드 게임 용어,격식/일상,타동사,타동사,discard + N,해당 없음,해당 없음,dis+card,discarded,card와 혼동,throw away,keep,"discard waste, discard old clothes",He discarded the idea.,discard=겸용(아이디어·물건).,일상,상,2,X,"O, X: discard=보관하다 → X, Q1 유사 표현? throw away"
throw away,phrasal verb,버리다; 낭비하다,물건을 버리거나 기회를 날림.,throw + away,기회 낭비 의미,일상,동사구,타동사,throw away + N,해당 없음,해당 없음,throw+away,throwaway,throw up과 혼동,discard,keep,"throw away trash, throw away a chance",Don’t throw it away.,기회 낭비 의미 중요.,일상,상,1,X,"O, X: throw away=보관하다 → X, Q1 동의어? discard"
dispose of,phrasal verb,처분하다; 버리다,물건·문제를 적절하게 처리하여 없앰.,Latin disponere,법적 처리,격식,동사구,타동사,dispose of + N,of,해당 없음,dis+pose+of,disposal,disposition과 혼동,get rid of,keep,dispose of waste properly,He disposed of the documents.,of 필수.,"법, 환경",상,2,X,"O, X: dispose of=보관하다 → X, Q1 명사형? disposal"
get rid of,expression,없애다; 제거하다,원치 않는 것을 제거하거나 벗어남.,Old English ridan,문제 해결 의미,일상,구,해당 없음,get rid of + N,of,해당 없음,get+rid+of,rid,dispose of과 혼동,eliminate,keep,get rid of insects,I need to get rid of this.,of 필수.,일상,상,1,X,"O, X: get rid for → X, Q1 유사어? eliminate"
