단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),OX 체크용 문항(기본값 X),미니 퀴즈(3문항 선택형)
privilege,noun,특권,특정 집단 또는 개인이 가지는 특별한 혜택.,라틴어 privilegium(개인 법),사회적 불평등 맥락 자주 사용,격식,명사,가산/불가산,privilege of,-,-,privus(개인)+lex(법),privileged,private와 혼동,advantage,disadvantage,social privilege,Education is a privilege.,사회정의 문맥에서 중요.,사회/정치,상,4,O/X: privilege는 가산·불가산 모두 가능 → O,Q1 형용사형? privileged
dispute,noun/verb,분쟁; 논쟁하다,의견·이해관계가 충돌하여 다투는 상태.,dis(반대)+putare(생각하다),법적 분쟁 의미도 중요,격식,명사/타동/자동,둘 다,a dispute over,over,-,dis+pute,disputable,disrupt와 혼동,argument,agreement,settle a dispute / dispute a claim,They disputed over the result.,법적 맥락 빈출.,법/정치,중,4,O/X: dispute는 자동사도 가능 → O,Q1 전치사? over
regardless of,expression,~에 상관없이,조건·상태와 무관하게 동일하게 적용됨.,regard(고려) + less,문어·말하기 모두,일상/격식,구문,-,-,of,-,regard+less,regard,irrespective of와 비교,irrespective of,depending on,regardless of age,He continued regardless of warnings.,of 필수 표현.,일상/학습,상,2,O/X: regardless to → X,Q1 동의 표현? irrespective of
promote,verb,승진시키다; 촉진하다,지위 상승 또는 발전을 도와 상승시킴.,라틴어 promovere(앞으로 나아가게 하다),광고하다 의미도 있음,일상/격식,타동사,타동사,promote + N,-,-,pro(앞)+move(움직이다),promotion,permit과 혼동주의,advance,demote,promote a product / promote him,The campaign promotes health.,승진/촉진/홍보 모두 중요.,경영/홍보,상,3,O/X: promote는 자동사이다 → X,Q1 명사형? promotion
promotion,noun,승진; 촉진; 홍보,지위 상승 또는 발전·광고를 의미.,promote에서 파생,마케팅 용어로도 중요,격식/일상,명사,가산/불가산,promotion of,-,-,promote+ion,promotional,demotion과 대비,advancement,demotion,job promotion / sales promotion,He received a promotion.,3가지 뜻 모두 중요.,경영/마케팅,상,3,O/X: promotion=광고 의미도 있다 → O,Q1 동사형? promote
owe,verb,빚지다; 덕택이다,돈·은혜·기원을 빚지고 있음.,라틴어 debere와 관련,감사 표현에도 사용,일상,타동사,타동사,owe A to B,to,A to B,owe,owing,own과 혼동주의,be in debt,repay,owe money / I owe it to you.,He owes his success to luck.,owe A to B 구조 중요.,일상,상,3,O/X: owe는 자동사이다 → X,Q1 구조? owe A to B
commission,noun/verb,위원회; 수수료; 의뢰하다,"공적 단체 또는 서비스 보수, 작품 의뢰.",라틴어 committere,예술·비즈니스 용어,격식,명사/타동,타동,가산,commission on,-,com(함께)+mittere(보내다),"commit, commitment",commit과 혼동주의,committee,refusal,art commission / sales commission,The mural was commissioned.,뜻 3개 모두 중요.,경영/예술,상,4,O/X: commission은 동사 가능 → O,Q1 전치사? on
distribute,verb,분배하다; 유통하다,무언가를 나누어 공급함.,dis(떨어져)+tribuere(나누다),통계에서 ‘분포하다’ 의미도 있음,격식/일상,타동사,타동사,distribute A to B,to,A to B,dis+tribute,distribution,contribute와 혼동주의,allocate,collect,distribute food / distribute resources,Books were distributed to students.,distribution과 세트.,경제/유통,상,3,O/X: distribute은 자동사 가능 → X,Q1 명사형? distribution
distribution,noun,분배; 유통; 분포,물자 공급·확산 패턴·통계 분포.,라틴어 distributio,과학·경제 전반,격식,명사,가산/불가산,distribution of,-,-,distribute+ion,distributive,contribution과 혼동주의,allocation,collection,normal distribution / food distribution,The distribution was uneven.,통계 ‘정규분포’ 뜻 중요.,경제/통계,상,4,O/X: distribution은 ‘분포’ 뜻도 있다 → O,Q1 동사형? distribute
commodity,noun,"상품, 원자재",경제에서 매매되는 기본 상품.,라틴어 commoditas(편리함),경제학 핵심 용어,격식,명사,가산,commodity market,-,-,commod + ity,commodities,common과 혼동주의,product,service,agricultural commodities,Oil is a key commodity.,경제 단골 단어.,경제,상,4,O/X: commodity는 불가산명사이다 → X,Q1 분야? economics
