단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
attribution,noun,원인 귀속; 속성 부여,결과를 특정 요인에 돌리는 과정.,Latin attributio,학문 용어,격식,명사,해당 없음,불가산,attribution to,to,해당 없음,at+tribute+ion,attribute,distribution과 혼동,assignment,separation,the attribution of success to effort,Attribution bias occurs often.,심리학 용례 중요.,"심리, 학문",중,3,"O, X: attribution=분리 → X, Q1 동사형? attribute"
skeptical,adjective,회의적인; 의심 많은,사실·주장에 대해 쉽게 믿지 않는 태도.,Greek skeptikos,과학 비판적 사고,일상/격식,형용사,해당 없음,해당 없음,"skeptical of, about","of, about",해당 없음,skept+ical,skeptic,spectacle과 혼동,doubtful,convinced,He is skeptical of the plan.,a skeptical attitude,"of, about 전치사 주의.",심리,상,2,"O, X: skeptical=확신하는 → X, Q1 명사형? skeptic"
skeptic,noun,회의론자,쉽게 믿지 않고 비판적으로 따지는 사람.,Greek skeptikos,철학 용어,격식,명사,해당 없음,가산,a skeptic about,about,해당 없음,skept+ic,skeptical,specter와 혼동,doubter,believer,He is a climate skeptic.,Skeptics questioned the data.,비판적 사고와 연계.,"철학, 과학",중,2,"O, X: skeptic=확신가 → X, Q1 형용사형? skeptical"
optimist,noun,낙관주의자,긍정적 전망을 주로 하는 사람.,Latin optimum,감정·성격,일상,명사,해당 없음,가산,optimist about,about,해당 없음,optim+ist,optimistic,option과 혼동,positive thinker,pessimist,She is an optimist.,Optimists see opportunities.,-ist 사람 표현.,심리,상,1,"O, X: optimist=비관주의자 → X, Q1 반의어? pessimist"
out of place,expression,어울리지 않는; 부적절한,상황·환경과 조화를 이루지 않음.,place=자리,감정·상황,일상,구,해당 없음,해당 없음,feel out of place,해당 없음,해당 없음,out+of+place,해당 없음,out of order와 혼동,awkward,fitting,He felt out of place.,Your joke was out of place.,상황 부적합 표현.,일상,상,1,"O, X: out of place=딱 맞다 → X, Q1 동의어? awkward"
column,noun,기둥; 칼럼,구조물 지지 기둥 또는 신문 칼럼.,Latin columna,표 형식 column,일상/격식,명사,해당 없음,가산,column of,of,해당 없음,col+umn,columnist,colon과 혼동,pillar,row,newspaper column,a column of numbers,칼럼니스트 연결.,"건축, 신문",상,1,"O, X: column=행 → X, Q1 직업형? columnist"
announcement,noun,발표; 공지,공식적으로 알리는 행위.,announce에서 파생,일상·비즈니스,격식/일상,명사,해당 없음,가산,announcement of,of,해당 없음,announce+ment,announce,denouncement와 혼동,declaration,silence,the announcement of results,They made an announcement.,-ment 명사형.,일반,상,1,"O, X: announcement=비밀 → X, Q1 동사형? announce"
alliance,noun,동맹; 제휴,공동 목적을 위한 협력 관계.,Latin alligare,정치·경제,격식,명사,해당 없음,가산,"alliance with, between","with, between",해당 없음,al+liance,ally,allusion과 혼동,partnership,conflict,military alliance,an alliance between companies,ally 연계 학습.,"정치, 경제",상,2,"O, X: alliance=적대 → X, Q1 동사형? ally"
convey,verb,전달하다; 운반하다,정보·감정·물건을 옮기거나 전함.,Latin conviare,문학적 뉘앙스 있음,격식/일상,타동사,타동사,타동,convey + N,해당 없음,해당 없음,con+vey,conveyance,convict와 혼동,communicate,hide,He conveyed his message clearly.,The pipe conveys water.,감정 전달 자주 사용.,"언어, 일반",상,2,"O, X: convey=숨기다 → X, Q1 명사형? conveyance"
communication,noun,의사소통; 전달,정보·감정을 주고받는 행위.,Latin communicare,대인·기술,일상/격식,명사,해당 없음,"불가산, 가산","communication with, between","with, between",해당 없음,communic+ation,communicate,commutation과 혼동,interaction,silence,effective communication,communication between groups,-ation 명사형.,"언어, 사회",상,1,"O, X: communication=침묵 → X, Q1 동사형? communicate"
