단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
(the) chances are (that),expression,아마 ~일 것이다,높은 가능성을 표현하는 문구.,chance(기회·가능성),일상 대화에서 조심스러운 추측,일상,구,해당 없음,해당 없음,chances are (that) S V,해당 없음,S V,chance+s+are,chance,likely와 혼동,likely,unlikely,The chances are that he’ll come.,Chances are you already know this.,that 생략 가능.,일상,상,1,"O, X: chances are=확실히 ~이다 → X, Q1 유사 표현? likely"
sufficient,adjective,충분한,필요한 만큼 충분히 만족되는 상태.,Latin sufficere,격식 표현,격식,형용사,해당 없음,해당 없음,"sufficient for, to","for, to",해당 없음,suf+ficient,sufficiency,efficient와 혼동,enough,insufficient,"sufficient evidence, sufficient time",The money is sufficient for living.,efficient와 철자 구별.,"학문, 일반",상,2,"O, X: sufficient=부족한 → X, Q1 반의어? insufficient"
adequate,adjective,적당한; 충분한,기본적인 기준을 만족하는 정도.,Latin adaequare,부정적 뉘앙스 가능,격식/일상,형용사,해당 없음,해당 없음,adequate for,for,해당 없음,ad+equate,adequacy,accurate과 혼동,sufficient,inadequate,"adequate resources, adequate explanation",The food was adequate.,‘아주 훌륭하진 않음’ 뉘앙스.,일반,상,2,"O, X: adequate=탁월한 → X, Q1 명사형? adequacy"
intense,adjective,강렬한; 극심한,힘·감정이 매우 강한 상태.,Latin intensus,감정·빛·열 등,격식/일상,형용사,해당 없음,해당 없음,intense + N,해당 없음,해당 없음,in+tense,intensity,intensive와 혼동,powerful,weak,"intense heat, intense emotions",The competition was intense.,intense vs intensive 구별.,"일반, 과학",상,2,"O, X: intense=약한 → X, Q1 명사형? intensity"
intensity,noun,강도; 세기,빛·열·감정 등의 강함 정도.,intense에서 파생,과학적 세기,격식,명사,해당 없음,불가산,intensity of,of,해당 없음,in+tense+ity,intense,density와 혼동,strength,weakness,"intensity of light, emotional intensity",The intensity increased.,intense와 세트.,"과학, 일반",상,3,"O, X: intensity=약함 → X, Q1 형용사형? intense"
intensely,adverb,강렬하게,감정·행동이 매우 강한 방식.,intense에서 파생,격정적 표현,격식/일상,부사,부사,해당 없음,"intensely + adj, pp",해당 없음,해당 없음,in+tense+ly,intensity,intensively와 혼동,strongly,lightly,"intensely focused, intensely emotional",She stared intensely.,"intensely, intensively 구별.",일반,상,2,"O, X: intensely=가볍게 → X, Q1 명사형? intensity"
fiercely,adverb,격렬하게; 사납게,"강하게, 공격적으로.",fierce에서 파생,경쟁 묘사,일상,부사,부사,해당 없음,"fiercely + v, adj",해당 없음,해당 없음,fierce+ly,fierce,pierce와 혼동,violently,gently,"fiercely competitive, fiercely argue",They fought fiercely.,fierce=fiercely 연상.,일반,상,2,"O, X: fiercely=온화하게 → X, Q1 형용사형? fierce"
lightly,adverb,가볍게; 약간,힘·정도가 약하게.,light(가벼운),음식 담백하게,일상,부사,부사,해당 없음,lightly + v,해당 없음,해당 없음,light+ly,light,likely와 혼동,gently,heavily,"walk lightly, lightly cooked food",She tapped lightly.,light vs lightly 구별.,일상,상,1,"O, X: lightly=강하게 → X, Q1 반의어? heavily"
phenomenon,noun,현상,관찰 가능한 사건이나 사실.,Greek phainomenon(보여지는 것),과학·사회 전반,격식,명사,해당 없음,가산,phenomenon of,of,해당 없음,pheno+menon,phenomenal,phantom과 혼동,occurrence,abnormality,"natural phenomenon, social phenomenon",The phenomenon spread rapidly.,복수형 phenomena 주의.,"과학, 사회",상,3,"O, X: phenomenon=환상 → X, Q1 복수형? phenomena"
eruption,noun,분출; 폭발,화산·감정 등이 갑자기 터져 나오는 현상.,Latin eruere(터뜨리다),감정 폭발,격식,명사,해당 없음,가산,eruption of,of,해당 없음,e+rupt+ion,erupt,corruption과 혼동,outburst,calmness,volcanic eruption,an eruption of anger,"erupt, eruption 세트.",과학,상,2,"O, X: eruption=진정 → X, Q1 동사형? erupt"
