"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"signal","noun, verb","신호; 신호를 보내다","의사소통을 위한 표시나 알림.","Latin signum(표시)","경제: 시그널링 이론","일상/전문","명, 동","타동사","signal + N","해당 없음","해당 없음","sign+al","signaling","singular과 혼동","indicate","ignore","send a signal, signal a turn","The light signaled danger.","traffic signal 연상.","언어, 기술","상","2","X","O, X: signal=숨기다 → X, Q1 동사형? signal"
"signature","noun","서명; 특징적인 요소","본인을 증명하는 이름 표기 또는 고유한 특징.","Latin signare(표시하다)","음악·요리: 시그니처 스타일","격식/일상","명사","가산","signature of","of","해당 없음","sign+ature","sign","signet과 혼동","autograph","anonymous mark","official signature, signature dish","His signature is required.","signature dish 의미 알아두기.","법, 일반","상","3","X","O, X: signature=익명 표시 → X, Q1 동의어? autograph"
"transmit","verb","전달하다; 전송하다","정보·신호·열 등을 보내는 과정.","trans(가로질러)+mittere(보내다)","질병 전염 의미도","격식","타동사","타동사","transmit to","to","해당 없음","trans+mit","transmission","submit과 혼동","send","block","transmit data, transmit a signal","The virus transmits easily.","transmission과 세트.","기술, 의료","상","3","X","O, X: transmit=막다 → X, Q1 명사형? transmission"
"commercial","adjective, noun","상업의; 광고","상업 활동과 관련되거나 TV 광고.","Latin commercium","radio commercial","일상/격식","형, 명","해당 없음","commercial for","for","해당 없음","com+merce+ial","commercialize","commerce와 혼동","business-related","noncommercial","commercial area, TV commercial","The product appeared in a commercial.","commerce와 형태 차이.","경제, 미디어","상","2","X","O, X: commercial=비상업적 → X, Q1 명사 의미? advertisement"
"commerce","noun","무역; 상업","상품·서비스의 교환과 거래 과정.","Latin commercium","e-commerce 의미","격식","명사","불가산","commerce between","between","해당 없음","com+merce","commercial","comma와 혼동","trade","idleness","international commerce","Commerce is expanding.","commercial과 짝지어 암기.","경제","상","2","X","O, X: commerce=광고 → X, Q1 형용사형? commercial"
"appealing","adjective","매력적인; 끌리는","관심이나 호감을 불러일으키는 상태.","appeal에서 파생","아이·음식 묘사","일상","형용사","해당 없음","appealing to","to","해당 없음","appeal+ing","appeal","appalling과 혼동","attractive","unattractive","an appealing offer","The design is visually appealing.","appeal↔appalling 주의.","일상","상","2","X","O, X: appealing=혐오스러운 → X, Q1 반의어? unappealing"
"appeal","verb, noun","호소하다; 매력; 항소","도움 요청, 매력, 법적 항소까지 포함.","Latin appellare","법적 appeal 중요","격식/일상","동, 명","자동사","appeal to","to","해당 없음","ap+peal","appealing","appear와 혼동","request","ignore","appeal to emotions, file an appeal","The idea appeals to me.","법적 meaning 주의.","법, 일반","상","3","X","O, X: appeal=강제하다 → X, Q1 전치사? appeal to"
"evident","adjective","분명한; 명백한","확실하고 명확하게 드러나는 상태.","Latin evidens","격식 문맥 자주 사용","격식","형용사","해당 없음","evident that","that절","해당 없음","e+vident","evidence","event와 혼동","obvious","unclear","It is evident that he lied.","The change was evident.","evidence와 형태 연관.","학문","상","2","X","O, X: evident=모호한 → X, Q1 명사형? evidence"
"absorb","verb","흡수하다; 몰두시키다","액체·정보·충격 등을 빨아들이거나 집중하게 함.","ab(떨어져)+sorb(빨다)","비용 부담 의미도","격식/일상","타동사","타동사","absorb + N","해당 없음","해당 없음","ab+sorb","absorption","absurd와 혼동","soak up","release","absorb water, be absorbed in study","The material absorbs sound.","absorb, absorption 구별.","과학, 일상","상","3","X","O, X: absorb=방출하다 → X, Q1 명사형? absorption"
"obscurity","noun","모호함; 무명","알려지지 않은 상태 또는 불분명함.","Latin obscurus(어두운)","‘무명 작가’ 의미","격식","명사","불가산","in obscurity","in","해당 없음","ob+scur+ity","obscure","security와 혼동","ambiguity","clarity","He lived in obscurity.","The text remains in obscurity.","obscure, obscurity 구별.","문학, 학문","중","3","X","O, X: obscurity=명확함 → X, Q1 형용사형? obscure"
