"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"apparently","adverb","겉보기에는, 명백히","보이기에는 그렇지만 실제로는 다를 수도 있음을 나타냄.","라틴어 apparere(나타나다)에서 유래한 apparent의 부사형.","‘소문에 따르면’, ‘보아하니’라는 두 가지 의미층 사용.","일상적·보고체 문맥에서 많이 사용됨.","부사","해당 없음","해당 없음","해당 없음","해당 없음","ap- + parere(나타나다) + -ly","apparent","obviously(혼동 주의: 확신 강함)","seemingly, evidently","hiddenly","apparently true, apparently harmless","1) Apparently, he didn’t know about the issue. 2) The solution is apparently simple.","obviously와 뉘앙스 차이 기억: apparently=겉보기, 추정.","일상, 보고, 서술","고","4","X","Q1: apparently 뜻? → 겉보기에는, Q2: 원형 단어? → apparent, Q3: apparently와 가까운 말? → seemingly"
"persist","verb","지속하다, 고집하다","어려움에도 불구하고 계속 존재하거나 행동을 지속함.","라틴어 persistere(굳게 서다)에서 유래.","부정적·긍정적 의미 모두 가능: 문제 지속/노력 지속.","격식·일상 모두.","자동사","자동사","해당 없음","persist in ~","해당 없음","per- (완전히) + sistere(서다)","persistence, persistent","continue(유사)","continue, endure","quit","persist in efforts, persist despite difficulties","1) The problem persisted for years. 2) She persisted in trying.","persist in + -ing 구문 기억.","심리, 일상, 학술","고","5","X","Q1: persist 전치사? → in, Q2: 명사형? → persistence, Q3: 반의어? → quit"
"persistently","adverb","끈질기게, 지속적으로","동작·상태가 계속 반복되거나 지속되는 모습을 나타냄.","persistent + -ly에서 파생.","부정적 의미(귀찮게), 긍정적 의미(꾸준히) 모두 가능.","일상·격식 모두","부사","해당 없음","해당 없음","해당 없음","해당 없음","persistent + -ly","persistent, persistence","consistently(유사)","consistently, steadily","intermittently","persistently ask, persistently continue","1) He persistently called her. 2) The symptoms persisted persistently.","persistent, persist 구분 학습.","심리, 일상","중","4","X","Q1: persistently 의미? → 지속적으로, Q2: 형용사 원형? → persistent, Q3: 유사어? → consistently"
"permanent","adjective","영구적인","일시적이지 않고 지속적으로 유지되는 상태.","라틴어 permanere(지속하다)에서 유래.","직업, 거주, 상태 등 장기적 지속 의미.","격식/일상 모두","형용사","해당 없음","해당 없음","permanent + N","해당 없음","per- (완전히) + manere(머무르다)","permanently, permanence","eternal(유사)","lasting, enduring","temporary","permanent job, permanent damage","1) She got a permanent job. 2) The scar may be permanent.","temporary와 세트로 암기.","사회, 일상, 법","고","4","X","Q1: permanent 반의어? → temporary, Q2: 명사형? → permanence, Q3: 뜻? → 영구적"
"embrace","verb, noun","껴안다, 받아들이다","물리적으로 안거나 사상을 받아들이는 행위.","옛 프랑스어 embracier(껴안다)에서 유래.","비유적 의미(변화를 포용하다)로도 자주 사용.","문학적·격식적","타동사, 명사","타동사","가산 명사","embrace + O","해당 없음","em- (안으로) + brace(두 팔)","embracement","hug(물리적), accept(비유)","accept, adopt","reject","embrace change, embrace ideas","1) She embraced her friend tightly. 2) He embraced the new technology.","물리, 비유 둘 다 가능함 기억.","문학, 사회, 문화","중","5","X","Q1: embrace 뜻? → 껴안다, 받아들이다, Q2: 반의어? → reject, Q3: 비유적 collocation? → embrace change"
"tremble","verb","떨다, 진동하다","두려움, 추위, 긴장으로 몸이 떨리는 상태.","라틴어 tremulus(떨리는)에서 유래.","감정적·신체적 떨림 모두 포함.","문학적/일상","자동사","자동사","해당 없음","tremble with ~","해당 없음","trem- (떨다)","trembling","shake(유사)","shake, shiver","steady","tremble with fear, hands tremble","1) He trembled with fear. 2) Her hands trembled slightly.","감정과 신체 반응 연결해 기억.","심리, 일상, 문학","중","4","X","Q1: tremble 전치사? → with, Q2: 유사어? → shake, Q3: 뜻? → 떨다"
"offspring","noun","자손, 새끼","어떤 존재의 후대·자녀를 의미.","고대 영어 ofspring(출생)에서 유래.","사람·동물 모두 사용, 단·복수 형태 동일.","격식적","명사","가산, 불가산 특수(형태 변화 없음)","해당 없음","해당 없음","해당 없음","off- + spring(튀어 오름, 생겨남)","해당 없음","descendant(유사)","descendant, progeny","ancestor","numerous offspring, offspring of animals","1) The bird protects its offspring. 2) He is the offspring of a noble family.","복수형 변화 없음 주의.","생물, 가족, 유전","고","4","X","Q1: offspring 복수형? → offspring, Q2: 의미? → 자손, Q3: 반의어? → ancestor"
"foster","verb, adjective","촉진하다, 양육하다; 위탁의","성장·발전·관계를 촉진하거나 아이를 돌봄.","고대 영어 fostrian(양육)에서 유래.","사회복지·교육·심리 문맥에서 많이 사용.","중립·격식","타동사, 형용사","타동사","해당 없음","foster + O","해당 없음","foster(양육)","foster care, foster parent","nurture(유사)","nurture, encourage","hinder","foster development, foster skills","1) Teachers foster creativity. 2) He grew up in a foster family.","양육 vs. 촉진 두 의미 기억.","심리, 교육, 사회","중","5","X","Q1: foster 의미 두 가지? → 양육, 촉진, Q2: 반의어? → hinder, Q3: collocation? → foster development"
"nurture","verb, noun","양육하다, 발전시키다","성장을 돕고 돌보며 발달시키는 행위.","라틴어 nutrire(먹이다)에서 유래.","정서적·교육적 돌봄 강조.","격식·문학적","타동사, 명사","타동사","가산, 불가산","nurture + O","해당 없음","nutr(먹이다) + -ure","nurturing","foster(유사)","raise, cultivate","neglect","nurture talent, nurture a child","1) Parents nurture their children. 2) The school nurtures creativity.","양육·성장 관련 단어들과 연결 학습.","심리, 교육","중","5","X","Q1: nurture 뜻? → 양육, 발달시키다, Q2: 유사어? → cultivate, Q3: 반의어? → neglect"
"availability","noun","이용 가능성, 접근 가능성","무언가가 사용 가능하거나 접근 가능한 상태.","available + -ity에서 파생.","상품·서비스·사람의 상태 등 폭넓게 사용.","격식·일상 모두","명사","불가산","해당 없음","availability of + N","해당 없음","avail(도움되다) + -ability","available","accessibility(유사)","accessibility, usability","unavailability","availability of resources, limited availability","1) The availability of water is decreasing. 2) Please check my availability for meetings.","available, availability 세트 암기.","경제, 환경, 일상","고","4","X","Q1: availability 의미? → 이용 가능성, Q2: 전치사? availability ___ → of, Q3: 반의어? → unavailability"
