"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"put up with","phrasal verb","참다, 견디다","불쾌하거나 귀찮은 것을 억지로 받아들임.","동사 put + up + with 결합","불만 상황에 자주 사용","비격식/일상","구동사","자동사, 타동사","해당 없음","put up with + N","해당 없음","put + up + with","해당 없음","put out with과 혼동주의","tolerate, endure","reject","put up with noise","I can’t put up with this anymore.","tolerate와 동일하게 암기.","일상, 심리","고","3","X","O, X: put up with = 참다 → O, Q1 구조? with Q2 유사어?"
"fascinated","adjective","매료된","마음이 강하게 끌려 사로잡힌 상태.","라틴어 fascinare","긍정적 감탄 강조","일상/문학","형용사","해당 없음","해당 없음","fascinated by, with","해당 없음","fascinate + ed","fascinate","interesting과 혼동","captivated","uninterested","fascinated by art","She was fascinated by the story.","fascinate, fascinated 구분.","감정","중","3","X","O, X: fascinated는 수동 의미 내포 → O, Q1 전치사? by, with"
"resent","verb","분개하다, 원망하다","부당 대우로 인해 강한 불쾌감을 품다.","re(다시)+sentire(느끼다)","오래 지속되는 감정","격식","타동사","타동사","해당 없음","resent + O","해당 없음","re + sent","resentment","recent과 혼동주의","hate","forgive","resent criticism","He resented being ignored.","resent O, resent -ing 형태 자주 출제.","감정","중","4","X","O, X: resent은 감정 동사 → O, Q1 resent 뒤 구조? O 또는 -ing"
"resentful","adjective","분개하는","부정적 감정을 오래 품은 상태.","resent에서 파생","강한 부정 감정","격식","형용사","해당 없음","해당 없음","resentful of, about","해당 없음","resent + ful","resentment","regret과 혼동주의","bitter","forgiving","feel resentful","She was resentful of the decision.","resent, resentful, resentment 패밀리.","감정","중","4","X","O, X: resentful은 감정형 형용사 → O, Q1 명사형? resentment"
"resentment","noun","분개, 원망","오랫동안 남아 있는 강한 부정 감정.","resent에서 파생","심리/사회 맥락","격식","명사","불가산","resentment toward","해당 없음","해당 없음","resent + ment","resentful","resent과 혼동주의","bitterness","forgiveness","deep resentment","There was resentment toward the policy.","불가산 명사 주의.","감정","중","4","X","O, X: resentment은 가산명사 → X, Q1 전치사? toward"
"irritate","verb","짜증나게 하다","감정적 또는 신체적 자극으로 불쾌하게 만듦.","라틴어 irritare","의학적 자극 의미도 있음","일상/의학","타동사","타동사","해당 없음","irritate + O","해당 없음","irrit + ate","irritation","irrigate(관개하다)와 혼동","annoy","soothe","irritate the skin","His attitude irritated me.","의학적 meaning도 암기.","감정, 의학","고","3","X","O, X: irritate는 자동사이다 → X, Q1 명사형? irritation"
"irritated","adjective","짜증난","무언가에 의해 화가 난 상태.","irritate에서 파생","감정·피부 자극 모두","일상/의학","형용사","해당 없음","해당 없음","irritated by, with","해당 없음","irritate + ed","irritation","irritating과 구분(능동, 수동)","annoyed","calm","irritated by noise","She looked irritated.","irritated vs irritating 구별.","감정, 의학","고","3","X","O, X: irritated는 능동 느낌 → X (수동), Q1 전치사? by, with"
"irritation","noun","짜증, 자극","감정 또는 피부 자극 상태.","irritate에서 파생","의학·감정 모두","일상/의학","명사","가산, 불가산","irritation of","해당 없음","해당 없음","irritate + ion","irritated","irrigation과 혼동","annoyance","soothing","skin irritation","His irritation grew.","가산, 불가산 모두 가능.","감정, 의학","중","4","X","O, X: irritation은 의학적 의미도 있다 → O, Q1 동사형? irritate"
"humiliate","verb","굴욕감을 주다","상대를 창피하게 만들다.","라틴어 humilis(낮은)","감정적 상처 의미","격식","타동사","타동사","해당 없음","humiliate + O","해당 없음","humili + ate","humiliation","humble과 혼동주의","embarrass","respect","humiliate someone","He was publicly humiliated.","humiliate ↔ humble 구분.","감정, 사회","중","5","X","O, X: humiliate는 긍정 의미 → X, Q1 명사형? humiliation"
"insult","verb, noun","모욕하다; 모욕","상대를 무시하는 말·행동.","라틴어 insultare(뛰어오르다→공격하다)","언어적 공격 중심","일상","타동사, 명사","타동사","가산","insult to","해당 없음","in + sult(뛰다)","insulting","result와 철자 혼동주의","offend","praise","a personal insult","He insulted me.","insult, insulting 구분.","사회, 감정","고","3","X","O, X: insult는 자동사이다 → X, Q1 반의어? praise"
