"단어","품사","주요 의미(핵심 뜻)","핵심 개념 요약(한 문장)","어원·역사적 변천","의미 확장(현재 쓰임 포함)","뉘앙스·레지스터","문법적 특징","자동사/타동사","가산/불가산","전치사 패턴","필수 보어 등","형태론적 분석(접두사·어근·접미사)","파생어·관련어","혼동 주의 단어","동의어·유사어","반의어","콜로케이션(뜻 포함)","예문(난이도별 2~3개)","학습 팁","교과/분야 태그","빈도 정도(고/중/저)","단어 난이도(1~10)","체크용","미니 퀴즈(3문항 선택형)"
"innate","adjective","타고난; 선천적인","학습이 아닌 태생적 특성을 나타냄.","Latin innatus(태어나면서 갖춘)","감정·성격에도 사용","격식","형용사","해당 없음","innate in","in","해당 없음","in+nate","innately","native와 혼동","inborn","acquired","innate ability","Humans have an innate desire to learn.","선천적 vs 후천적 구분.","심리, 생물","상","3","X","O, X: innate=후천적 → X, Q1 부사형? innately"
"ignorant","adjective","무지한; 알지 못하는","지식 부족 또는 무관심을 의미.","Latin ignorare(모르다)","경멸적 뉘앙스 가능","일상/격식","형용사","해당 없음","ignorant of","of","해당 없음","ignor+ant","ignorance","ignore와 혼동","unaware","knowledgeable","ignorant of the facts","Don't be ignorant.","무지, 무례 둘 다 가능.","일반","상","2","X","O, X: ignorant=지적인 → X, Q1 명사형? ignorance"
"ignorance","noun","무지; 무지함","정보·지식이 결핍된 상태.","ignorant에서 파생","의도적 무지 포함","격식","명사","불가산","ignorance of","of","해당 없음","ignor+ance","ignorant","ignore와 혼동","lack of knowledge","knowledge","his ignorance of science","Ignorance is dangerous.","ignorant, ignorance 구분.","일반","상","2","X","O, X: ignorance=지혜 → X, Q1 형용사형? ignorant"
"association","noun","연관; 단체","두 요소의 연결 또는 조직·협회.","Latin associare(연결하다)","심리학 연상 포함","격식/일상","명사","가산, 불가산","association with","with","해당 없음","associ+ation","associate","assertion과 혼동","connection","separation","strong association with smoking","The Medical Association","associate(동사)와 세트.","심리, 조직","상","3","X","O, X: association=분리 → X, Q1 동사형? associate"
"assumption","noun","가정; 추정","증거 없이 사실로 여기는 생각.","assume에서 파생","철학·수학 가정","격식","명사","가산","assumption that","that절","해당 없음","assume+ption","assume","consume과 혼동","presumption","fact","the assumption that he is right","It's a false assumption.","assume와 세트.","논리, 학문","상","3","X","O, X: assumption=확실한 사실 → X, Q1 동사형? assume"
"assume","verb","추정하다; 맡다","불확실한 것을 사실로 가정하거나 역할 수행.","Latin assumere(떠맡다)","태도를 취하다 의미도","격식/일상","타동사","타동사","assume that","that절","해당 없음","as+sume","assumption","consume과 혼동","presume","verify","assume responsibility, assume he is honest","Don't assume too much.","assume=맡다 뜻도 있음.","논리, 일반","상","3","X","O, X: assume=검증하다 → X, Q1 명사형? assumption"
"distraction","noun","산만함; 방해 요소","주의가 흐트러지는 상태 또는 요소.","Latin distractus(흩어지다)","오락·기분전환 의미","일상","명사","가산, 불가산","distraction from","from","해당 없음","dis+tract+ion","distract","traction과 혼동","disturbance","focus","too many distractions, a pleasant distraction","Phones cause distraction.","오락 의미도 기억.","심리","상","2","X","O, X: distraction=집중 → X, Q1 동사형? distract"
"subjective","adjective","주관적인","개인의 감정·생각에 의존한 판단.","Latin subjectivus","철학·심리학 핵심","격식","형용사","해당 없음","subjective to","to","해당 없음","subject+ive","subjectivity","objective와 대비","personal","objective","subjective opinion","Beauty is subjective.","subjective↔objective 대비 필수.","철학, 심리","상","3","X","O, X: subjective=객관적 → X, Q1 명사형? subjectivity"
"objective","adjective, noun","객관적인; 목표","개인 감정을 배제한 사실 기반 또는 목표.","Latin objectivus","명사 의미 중요","격식/일상","형, 명","해당 없음","objective in","해당 없음","해당 없음","object+ive","objectivity","object와 혼동","factual","subjective","objective data, achieve an objective","We must remain objective.","명사·형용사 구별.","철학, 일반","상","3","X","O, X: objective=주관적 → X, Q1 명사형? objectivity"
"end up -ing","expression","결국 ~하게 되다","과정 결과로 의도와 다르게 특정 상태에 도달함.","Old English endian","부정적·우연적 의미 많음","일상","구","자동사","end up -ing","-ing","해당 없음","end+up","ending","finish와 혼동","eventually become","begin","He ended up buying it.","We ended up getting lost.","-ing 필수.","일상","상","2","X","O, X: end up to do → X, Q1 기본 형태? end up -ing"
