단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
interference,noun,간섭; 방해,어떤 과정에 방해되는 작용.,interfere 파생,과학·전파 간섭,격식,명사,해당 없음,"불가산, 가산",interference with,with,해당 없음,inter+fere+ence,interfere,interrupt와 혼동,obstruction,assistance,"radio interference, interference with progress",There was interference in the signal.,-ence 명사형.,"과학, 일반",상,2,"O, X: interference=도움 → X, Q1 동사형? interfere"
intervene,verb,개입하다; 중재하다,상황을 막거나 조정하기 위해 끼어듦.,Latin intervenire,국가 개입,격식,자동사,자동사,자동사,intervene in,in,해당 없음,inter+vene,intervention,interfere와 혼동,mediate,ignore,The UN intervened in the conflict.,Parents seldom intervene.,interfere보다 공식적.,"정치, 사회",상,2,"O, X: intervene=무시하다 → X, Q1 명사형? intervention"
intervention,noun,개입; 중재,분쟁·문제를 해결하기 위한 공식적 개입.,intervene 파생,정부 정책,격식,명사,해당 없음,"가산, 불가산",intervention in,in,해당 없음,inter+vent+ion,intervene,interaction과 혼동,mediation,nonintervention,"military intervention, medical intervention",The intervention saved lives.,정책·의학 모두 자주 사용.,"정치, 의학",상,2,"O, X: intervention=방치 → X, Q1 동사형? intervene"
exclusive,adjective,독점적인; 배타적인,특정 대상만 허용하거나 제한됨.,Latin excludere,exclusive club,격식/일상,형용사,해당 없음,해당 없음,exclusive to,to,해당 없음,ex+clus+ive,exclusively,exclude와 혼동,select,inclusive,"exclusive rights, exclusive interview",This offer is exclusive to members.,inclusive와 대비.,"사회, 경제",중,2,"O, X: exclusive=포용적인 → X, Q1 부사형? exclusively"
convince,verb,설득하다; 확신시키다,상대가 믿도록 확신을 주는 행위.,Latin convincere,감정 설득,일상/격식,타동사,타동사,타동,"convince O of, that","of, that",O,con+vince,convinced,confess와 혼동,persuade,doubt,He convinced me to try.,She convinced him that it was true.,convince O that 구조.,일반,상,1,"O, X: convince=혼란 주다 → X, Q1 형용사형? convinced"
convinced,adjective,확신한,어떤 사실을 굳게 믿는 상태.,convince 파생,강한 확신,일상,형용사,해당 없음,해당 없음,convinced that,that,절,con+vinced,convincing,conflicted와 혼동,sure,unsure,I'm convinced that he is right.,They were fully convinced.,convinced vs convincing 구별.,일반,상,2,"O, X: convinced=의심하는 → X, Q1 반의어? unconvinced"
ensure,verb,보장하다; 확실하게 하다,특정 결과가 일어나도록 보증.,French enseurer,법률·행정,격식/일상,타동사,타동사,타동,"ensure that, ensure N",that,절,en+sure,insurance,"assure, ensure 혼동",guarantee,endanger,Ensure that it is safe.,This step ensures success.,"assure, ensure, insure 구별.","정책, 일반",상,2,"O, X: ensure=위험하게 하다 → X, Q1 동의어? guarantee"
boost,"verb, noun",증가시키다; 향상,양·속도·기능을 끌어올림.,unknown origin,기술·경제 분야,일상,"동, 명","동, 명",타동,boost + N,해당 없음,해당 없음,boost,booster,boost vs boast 혼동,increase,reduce,They boosted sales.,This gives a big boost to morale.,boast와 발음 구분.,"경제, 일반",상,1,"O, X: boost=줄이다 → X, Q1 명사형? boost"
attribute,"verb, noun",~의 결과로 보다; 속성,원인을 특정 요인에 돌리거나 특성.,Latin attributus,학문 용례,격식,"동, 명","동, 명",타동,attribute A to B,to,A to B,at+tribute,attribution,tribute와 혼동,ascribe,separate,He attributes success to hard work.,an attribute of humans,A to B 고정.,"학문, 철학",상,2,"O, X: attribute A from B → X, Q1 명사형? attribution"
ascribe,verb,~의 탓으로 돌리다,원인을 특정 대상에게 귀속함.,Latin ascribere,격식적,격식,타동사,타동사,타동,ascribe A to B,to,A to B,a+scribe,ascription,subscribe와 혼동,attribute,detach,They ascribed the error to luck.,Virtues are ascribed to heroes.,attribute와 동의어.,학문,중,2,"O, X: ascribe A from B → X, Q1 명사형? ascription"
